controller,boundary_action,phase,global_step,conditions_passed,conditions_total,geometric_success
cached_h50,5,branch,6,2,4,False
cached_h50,5,branch,7,2,4,False
cached_h50,5,branch,8,2,4,False
cached_h50,5,branch,9,2,4,False
cached_h50,5,branch,10,2,4,False
cached_h50,5,branch,11,2,4,False
cached_h50,5,branch,12,2,4,False
cached_h50,5,branch,13,2,4,False
cached_h50,5,branch,14,2,4,False
cached_h50,5,branch,15,2,4,False
cached_h50,5,branch,16,2,4,False
cached_h50,5,branch,17,2,4,False
cached_h50,5,branch,18,2,4,False
cached_h50,5,branch,19,2,4,False
cached_h50,5,branch,20,2,4,False
cached_h50,5,branch,21,2,4,False
cached_h50,5,branch,22,2,4,False
cached_h50,5,branch,23,2,4,False
cached_h50,5,branch,24,2,4,False
cached_h50,5,branch,25,2,4,False
cached_h50,5,branch,26,2,4,False
cached_h50,5,branch,27,2,4,False
cached_h50,5,branch,28,2,4,False
cached_h50,5,branch,29,2,4,False
cached_h50,5,branch,30,2,4,False
cached_h50,5,branch,31,2,4,False
cached_h50,5,branch,32,2,4,False
cached_h50,5,branch,33,2,4,False
cached_h50,5,branch,34,2,4,False
cached_h50,5,branch,35,2,4,False
cached_h50,5,branch,36,2,4,False
cached_h50,5,branch,37,2,4,False
cached_h50,5,branch,38,2,4,False
cached_h50,5,branch,39,2,4,False
cached_h50,5,branch,40,2,4,False
cached_h50,5,branch,41,2,4,False
cached_h50,5,branch,42,2,4,False
cached_h50,5,branch,43,2,4,False
cached_h50,5,branch,44,2,4,False
cached_h50,5,branch,45,2,4,False
cached_h50,5,branch,46,2,4,False
cached_h50,5,branch,47,2,4,False
cached_h50,5,branch,48,2,4,False
cached_h50,5,branch,49,2,4,False
cached_h50,5,branch,50,2,4,False
cached_h50,5,branch,51,2,4,False
cached_h50,5,branch,52,2,4,False
cached_h50,5,branch,53,2,4,False
cached_h50,5,branch,54,2,4,False
cached_h50,5,branch,55,2,4,False
cached_h50,5,branch,56,2,4,False
cached_h50,5,branch,57,2,4,False
cached_h50,5,branch,58,2,4,False
cached_h50,5,branch,59,2,4,False
cached_h50,5,branch,60,2,4,False
cached_h50,5,branch,61,2,4,False
cached_h50,5,branch,62,2,4,False
cached_h50,5,branch,63,2,4,False
cached_h50,5,branch,64,2,4,False
cached_h50,5,branch,65,2,4,False
cached_h50,5,branch,66,2,4,False
cached_h50,5,branch,67,2,4,False
cached_h50,5,branch,68,2,4,False
cached_h50,5,branch,69,2,4,False
cached_h50,5,branch,70,2,4,False
cached_h50,5,branch,71,2,4,False
cached_h50,5,branch,72,2,4,False
cached_h50,5,branch,73,2,4,False
cached_h50,5,branch,74,2,4,False
cached_h50,5,branch,75,2,4,False
cached_h50,5,branch,76,2,4,False
cached_h50,5,branch,77,2,4,False
cached_h50,5,branch,78,2,4,False
cached_h50,5,branch,79,2,4,False
cached_h50,5,branch,80,2,4,False
cached_h50,5,branch,81,2,4,False
cached_h50,5,branch,82,2,4,False
cached_h50,5,branch,83,2,4,False
cached_h50,5,branch,84,2,4,False
cached_h50,5,branch,85,2,4,False
cached_h50,5,branch,86,2,4,False
cached_h50,5,branch,87,2,4,False
cached_h50,5,branch,88,2,4,False
cached_h50,5,branch,89,2,4,False
cached_h50,5,branch,90,2,4,False
cached_h50,5,branch,91,2,4,False
cached_h50,5,branch,92,2,4,False
cached_h50,5,branch,93,2,4,False
cached_h50,5,branch,94,2,4,False
cached_h50,5,branch,95,2,4,False
cached_h50,5,branch,96,2,4,False
cached_h50,5,branch,97,2,4,False
cached_h50,5,branch,98,2,4,False
cached_h50,5,branch,99,2,4,False
cached_h50,5,branch,100,2,4,False
cached_h50,5,branch,101,3,4,False
cached_h50,5,branch,102,3,4,False
cached_h50,5,branch,103,3,4,False
cached_h50,5,branch,104,3,4,False
cached_h50,5,branch,105,3,4,False
cached_h50,5,branch,106,3,4,False
cached_h50,5,branch,107,3,4,False
cached_h50,5,branch,108,3,4,False
cached_h50,5,branch,109,3,4,False
cached_h50,5,branch,110,3,4,False
cached_h50,5,branch,111,3,4,False
cached_h50,5,branch,112,3,4,False
cached_h50,5,branch,113,3,4,False
cached_h50,5,branch,114,3,4,False
cached_h50,5,branch,115,4,4,True
cached_h50,5,branch,116,4,4,True
cached_h50,5,branch,117,4,4,True
cached_h50,5,branch,118,4,4,True
cached_h50,5,branch,119,4,4,True
cached_h50,5,branch,120,4,4,True
cached_h50,5,branch,121,4,4,True
cached_h50,5,branch,122,4,4,True
cached_h50,5,branch,123,4,4,True
cached_h50,5,branch,124,4,4,True
cached_h50,5,branch,125,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
cached_h50,5,terminal_settle,,4,4,True
baseline_fresh_h10,5,branch,6,2,4,False
baseline_fresh_h10,5,branch,7,2,4,False
baseline_fresh_h10,5,branch,8,2,4,False
baseline_fresh_h10,5,branch,9,2,4,False
baseline_fresh_h10,5,branch,10,2,4,False
baseline_fresh_h10,5,branch,11,2,4,False
baseline_fresh_h10,5,branch,12,2,4,False
baseline_fresh_h10,5,branch,13,2,4,False
baseline_fresh_h10,5,branch,14,2,4,False
baseline_fresh_h10,5,branch,15,2,4,False
baseline_fresh_h10,5,branch,16,2,4,False
baseline_fresh_h10,5,branch,17,2,4,False
baseline_fresh_h10,5,branch,18,2,4,False
baseline_fresh_h10,5,branch,19,2,4,False
baseline_fresh_h10,5,branch,20,2,4,False
baseline_fresh_h10,5,branch,21,2,4,False
baseline_fresh_h10,5,branch,22,2,4,False
baseline_fresh_h10,5,branch,23,2,4,False
baseline_fresh_h10,5,branch,24,2,4,False
baseline_fresh_h10,5,branch,25,2,4,False
baseline_fresh_h10,5,branch,26,2,4,False
baseline_fresh_h10,5,branch,27,2,4,False
baseline_fresh_h10,5,branch,28,2,4,False
baseline_fresh_h10,5,branch,29,2,4,False
baseline_fresh_h10,5,branch,30,2,4,False
baseline_fresh_h10,5,branch,31,2,4,False
baseline_fresh_h10,5,branch,32,2,4,False
baseline_fresh_h10,5,branch,33,2,4,False
baseline_fresh_h10,5,branch,34,2,4,False
baseline_fresh_h10,5,branch,35,2,4,False
baseline_fresh_h10,5,branch,36,2,4,False
baseline_fresh_h10,5,branch,37,2,4,False
baseline_fresh_h10,5,branch,38,2,4,False
baseline_fresh_h10,5,branch,39,2,4,False
baseline_fresh_h10,5,branch,40,2,4,False
baseline_fresh_h10,5,branch,41,2,4,False
baseline_fresh_h10,5,branch,42,2,4,False
baseline_fresh_h10,5,branch,43,2,4,False
baseline_fresh_h10,5,branch,44,2,4,False
baseline_fresh_h10,5,branch,45,2,4,False
baseline_fresh_h10,5,branch,46,2,4,False
baseline_fresh_h10,5,branch,47,2,4,False
baseline_fresh_h10,5,branch,48,2,4,False
baseline_fresh_h10,5,branch,49,2,4,False
baseline_fresh_h10,5,branch,50,2,4,False
baseline_fresh_h10,5,branch,51,2,4,False
baseline_fresh_h10,5,branch,52,2,4,False
baseline_fresh_h10,5,branch,53,2,4,False
baseline_fresh_h10,5,branch,54,2,4,False
baseline_fresh_h10,5,branch,55,2,4,False
baseline_fresh_h10,5,branch,56,2,4,False
baseline_fresh_h10,5,branch,57,2,4,False
baseline_fresh_h10,5,branch,58,2,4,False
baseline_fresh_h10,5,branch,59,2,4,False
baseline_fresh_h10,5,branch,60,2,4,False
baseline_fresh_h10,5,branch,61,2,4,False
baseline_fresh_h10,5,branch,62,2,4,False
baseline_fresh_h10,5,branch,63,2,4,False
baseline_fresh_h10,5,branch,64,2,4,False
baseline_fresh_h10,5,branch,65,2,4,False
baseline_fresh_h10,5,branch,66,2,4,False
baseline_fresh_h10,5,branch,67,2,4,False
baseline_fresh_h10,5,branch,68,2,4,False
baseline_fresh_h10,5,branch,69,2,4,False
baseline_fresh_h10,5,branch,70,2,4,False
baseline_fresh_h10,5,branch,71,2,4,False
baseline_fresh_h10,5,branch,72,2,4,False
baseline_fresh_h10,5,branch,73,2,4,False
baseline_fresh_h10,5,branch,74,2,4,False
